"filename", "language", "YAML", "Markdown", "Dart", "C++", "JSON", "Swift", "Groovy", "Properties", "XML", "comment", "blank", "total"
"e:\Flutter\app\mud_app\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Flutter\app\mud_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 65, 0, 0, 8, 10, 83
"e:\Flutter\app\mud_app\android\app\google-services.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 39
"e:\Flutter\app\mud_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"e:\Flutter\app\mud_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 16, 1, 52
"e:\Flutter\app\mud_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"e:\Flutter\app\mud_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"e:\Flutter\app\mud_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"e:\Flutter\app\mud_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"e:\Flutter\app\mud_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\Flutter\app\mud_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"e:\Flutter\app\mud_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"e:\Flutter\app\mud_app\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\Flutter\app\mud_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\Flutter\app\mud_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
